Дата,Значение
18/09/18 - Открытие,108440.0000000
18/09/18 - Открытие,109120.0000000
18/09/18 - Открытие,109070.0000000
18/09/18 - Открытие,109000.0000000
18/09/18 - Открытие,108950.0000000
18/09/18 - Открытие,108910.0000000
18/09/18 - Открытие,108890.0000000
18/09/18 - Открытие,108870.0000000
18/09/18 - Открытие,108850.0000000
18/09/18 - Открытие,108880.0000000
18/09/18 - Открытие,108910.0000000
18/09/18 - Открытие,108830.0000000
18/09/18 - Открытие,108750.0000000
18/09/18 - Открытие,108960.0000000
18/09/18 - Открытие,108950.0000000
18/09/18 - Открытие,108970.0000000
18/09/18 - Открытие,108970.0000000
18/09/18 - Открытие,108910.0000000
18/09/18 - Открытие,108870.0000000
18/09/18 - Открытие,108920.0000000
18/09/18 - Открытие,108890.0000000
18/09/18 - Открытие,108880.0000000
18/09/18 - Открытие,108920.0000000
18/09/18 - Открытие,108950.0000000
18/09/18 - Открытие,109010.0000000
18/09/18 - Открытие,109080.0000000
18/09/18 - Открытие,109250.0000000
18/09/18 - Открытие,109210.0000000
18/09/18 - Открытие,109270.0000000
18/09/18 - Открытие,109310.0000000
18/09/18 - Открытие,109220.0000000
18/09/18 - Открытие,109310.0000000
18/09/18 - Открытие,109380.0000000
18/09/18 - Открытие,109410.0000000
18/09/18 - Открытие,109460.0000000
18/09/18 - Открытие,109550.0000000
18/09/18 - Открытие,109430.0000000
18/09/18 - Открытие,109370.0000000
18/09/18 - Открытие,109400.0000000
18/09/18 - Открытие,109380.0000000
18/09/18 - Открытие,109290.0000000
18/09/18 - Открытие,109270.0000000
18/09/18 - Открытие,109300.0000000
18/09/18 - Открытие,109260.0000000
18/09/18 - Открытие,109250.0000000
18/09/18 - Открытие,109320.0000000
18/09/18 - Открытие,109310.0000000
18/09/18 - Открытие,109270.0000000
18/09/18 - Открытие,109300.0000000
18/09/18 - Открытие,109290.0000000
18/09/18 - Открытие,109290.0000000
18/09/18 - Открытие,109280.0000000
18/09/18 - Открытие,109440.0000000
18/09/18 - Открытие,109240.0000000
18/09/18 - Открытие,109040.0000000
18/09/18 - Открытие,109010.0000000
18/09/18 - Открытие,109150.0000000
18/09/18 - Открытие,109150.0000000
18/09/18 - Открытие,109120.0000000
18/09/18 - Открытие,109090.0000000
18/09/18 - Открытие,109080.0000000
18/09/18 - Открытие,109110.0000000
18/09/18 - Открытие,109220.0000000
18/09/18 - Открытие,109140.0000000
