<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,18/09/18,10:01,108440.0,109200.0,108440.0,109130.0,1829
SPFB.RTS-12.18,1,18/09/18,10:02,109120.0,109190.0,109020.0,109060.0,471
SPFB.RTS-12.18,1,18/09/18,10:03,109070.0,109090.0,108970.0,108990.0,192
SPFB.RTS-12.18,1,18/09/18,10:04,109000.0,109030.0,108910.0,108950.0,165
SPFB.RTS-12.18,1,18/09/18,10:05,108950.0,109010.0,108900.0,108950.0,696
SPFB.RTS-12.18,1,18/09/18,10:06,108910.0,108950.0,108840.0,108900.0,524
SPFB.RTS-12.18,1,18/09/18,10:07,108890.0,108940.0,108850.0,108850.0,233
SPFB.RTS-12.18,1,18/09/18,10:08,108870.0,108890.0,108830.0,108830.0,144
SPFB.RTS-12.18,1,18/09/18,10:09,108850.0,108890.0,108820.0,108890.0,160
SPFB.RTS-12.18,1,18/09/18,10:10,108880.0,108920.0,108860.0,108900.0,56
SPFB.RTS-12.18,1,18/09/18,10:11,108910.0,108910.0,108860.0,108860.0,98
SPFB.RTS-12.18,1,18/09/18,10:12,108830.0,108830.0,108750.0,108750.0,121
SPFB.RTS-12.18,1,18/09/18,10:13,108750.0,108980.0,108750.0,108960.0,215
SPFB.RTS-12.18,1,18/09/18,10:14,108960.0,108990.0,108930.0,108990.0,389
SPFB.RTS-12.18,1,18/09/18,10:15,108950.0,108990.0,108920.0,108960.0,404
SPFB.RTS-12.18,1,18/09/18,10:16,108970.0,108990.0,108930.0,108970.0,158
SPFB.RTS-12.18,1,18/09/18,10:17,108970.0,108970.0,108900.0,108900.0,95
SPFB.RTS-12.18,1,18/09/18,10:18,108910.0,108940.0,108870.0,108870.0,60
SPFB.RTS-12.18,1,18/09/18,10:19,108870.0,108920.0,108870.0,108920.0,49
SPFB.RTS-12.18,1,18/09/18,10:20,108920.0,108930.0,108900.0,108900.0,73
SPFB.RTS-12.18,1,18/09/18,10:21,108890.0,108920.0,108880.0,108900.0,42
SPFB.RTS-12.18,1,18/09/18,10:22,108880.0,108940.0,108850.0,108940.0,72
SPFB.RTS-12.18,1,18/09/18,10:23,108920.0,108950.0,108920.0,108950.0,59
SPFB.RTS-12.18,1,18/09/18,10:24,108950.0,109010.0,108950.0,109000.0,174
SPFB.RTS-12.18,1,18/09/18,10:25,109010.0,109080.0,109010.0,109060.0,173
SPFB.RTS-12.18,1,18/09/18,10:26,109080.0,109280.0,109070.0,109240.0,589
SPFB.RTS-12.18,1,18/09/18,10:27,109250.0,109340.0,109200.0,109200.0,217
SPFB.RTS-12.18,1,18/09/18,10:28,109210.0,109290.0,109190.0,109280.0,474
SPFB.RTS-12.18,1,18/09/18,10:29,109270.0,109300.0,109250.0,109270.0,263
SPFB.RTS-12.18,1,18/09/18,10:30,109310.0,109310.0,109210.0,109210.0,199
SPFB.RTS-12.18,1,18/09/18,10:31,109220.0,109440.0,109220.0,109320.0,649
SPFB.RTS-12.18,1,18/09/18,10:32,109310.0,109440.0,109290.0,109370.0,579
SPFB.RTS-12.18,1,18/09/18,10:33,109380.0,109450.0,109380.0,109420.0,320
SPFB.RTS-12.18,1,18/09/18,10:34,109410.0,109450.0,109360.0,109440.0,515
SPFB.RTS-12.18,1,18/09/18,10:35,109460.0,109590.0,109440.0,109540.0,405
SPFB.RTS-12.18,1,18/09/18,10:36,109550.0,109570.0,109390.0,109420.0,353
SPFB.RTS-12.18,1,18/09/18,10:37,109430.0,109450.0,109330.0,109380.0,884
SPFB.RTS-12.18,1,18/09/18,10:38,109370.0,109410.0,109360.0,109410.0,95
SPFB.RTS-12.18,1,18/09/18,10:39,109400.0,109420.0,109360.0,109380.0,90
SPFB.RTS-12.18,1,18/09/18,10:40,109380.0,109380.0,109290.0,109290.0,86
SPFB.RTS-12.18,1,18/09/18,10:41,109290.0,109310.0,109280.0,109280.0,119
SPFB.RTS-12.18,1,18/09/18,10:42,109270.0,109340.0,109260.0,109300.0,109
SPFB.RTS-12.18,1,18/09/18,10:43,109300.0,109360.0,109270.0,109270.0,74
SPFB.RTS-12.18,1,18/09/18,10:44,109260.0,109270.0,109240.0,109240.0,125
SPFB.RTS-12.18,1,18/09/18,10:45,109250.0,109340.0,109250.0,109320.0,63
SPFB.RTS-12.18,1,18/09/18,10:46,109320.0,109350.0,109290.0,109290.0,52
SPFB.RTS-12.18,1,18/09/18,10:47,109310.0,109320.0,109260.0,109280.0,85
SPFB.RTS-12.18,1,18/09/18,10:48,109270.0,109310.0,109270.0,109290.0,33
SPFB.RTS-12.18,1,18/09/18,10:49,109300.0,109300.0,109250.0,109270.0,195
SPFB.RTS-12.18,1,18/09/18,10:50,109290.0,109310.0,109260.0,109270.0,196
SPFB.RTS-12.18,1,18/09/18,10:51,109290.0,109290.0,109270.0,109280.0,36
SPFB.RTS-12.18,1,18/09/18,10:52,109280.0,109550.0,109280.0,109430.0,546
SPFB.RTS-12.18,1,18/09/18,10:53,109440.0,109480.0,109210.0,109220.0,224
SPFB.RTS-12.18,1,18/09/18,10:54,109240.0,109250.0,109030.0,109030.0,1433
SPFB.RTS-12.18,1,18/09/18,10:55,109040.0,109070.0,108920.0,109020.0,1025
SPFB.RTS-12.18,1,18/09/18,10:56,109010.0,109220.0,109010.0,109150.0,349
SPFB.RTS-12.18,1,18/09/18,10:57,109150.0,109210.0,109150.0,109160.0,130
SPFB.RTS-12.18,1,18/09/18,10:58,109150.0,109160.0,109110.0,109110.0,115
